country_name;year;gdp;gdp_per_capita
Pakistan;2019;3.20909E+11;1482
Lithuania;2019;54697379017;19576
Pakistan;2018;3.56128E+11;1678
Lithuania;2018;53750911866;19186
Pakistan;2017;3.39206E+11;1632
Lithuania;2017;47758736932;16885
Chile;2021;3.17059E+11;16503
Bahrain;2021;38868663032;22232
Chile;2020;2.52727E+11;13221
Bahrain;2020;34723357447;20407
Chile;2019;2.78585E+11;14699
Bahrain;2019;38653318085;23552
Chile;2018;2.95403E+11;15772
Bahrain;2018;37802005319;24086
Chile;2017;2.76365E+11;14963
Bahrain;2017;35473776596;23743
Colombia;2021;3.14322E+11;6131
Slovakia;2021;1.14871E+11;21088
Colombia;2020;2.703E+11;5312
Slovakia;2020;1.05173E+11;19267
Colombia;2019;3.2311E+11;6419
Slovakia;2019;1.05284E+11;19304
Colombia;2018;3.34198E+11;6730
Slovakia;2018;1.05613E+11;19390
Colombia;2017;3.11884E+11;6377
Slovakia;2017;95393515078;17538
Latvia;2021;38872546229;20642
Latvia;2020;33645460617;17704
Latvia;2019;34308783825;17927
Latvia;2018;34429023435;17865
Latvia;2017;30483806018;15695
Romania;2021;2.84088E+11;14862
Greece;2021;2.16241E+11;20277
Romania;2020;2.49511E+11;12957
Greece;2020;1.88835E+11;17647
Romania;2019;2.49882E+11;12899
Greece;2019;2.05144E+11;19134
Romania;2018;2.41457E+11;12399
Greece;2018;2.12049E+11;19757
Romania;2017;2.11695E+11;10807
Greece;2017;1.99844E+11;18582
Hungary;2021;1.82281E+11;18773
Hungary;2020;1.56743E+11;16076
Hungary;2019;1.63526E+11;16736
Hungary;2018;1.60587E+11;16427
Hungary;2017;1.43136E+11;14624
St. Kitts And Nevis;2021;976150667;18230
St. Kitts And Nevis;2020;980905889;18441
St. Kitts And Nevis;2019;1164877852;22048
St. Kitts And Nevis;2018;1078505889;20567
St. Kitts And Nevis;2017;1060638333;20383
Peru;2021;2.23249E+11;6692
Croatia;2021;67837788544;17399
Peru;2020;2.01705E+11;6117
Croatia;2020;57203783203;14132
Peru;2019;2.28323E+11;7023
Croatia;2019;62246206341;15312
Peru;2018;2.22597E+11;6958
Croatia;2018;62247874949;15228
Peru;2017;2.11007E+11;6711
Croatia;2017;56214427431;13629
Barbados;2021;4900800000;17034
Barbados;2020;4689534962;16319
Barbados;2019;5304164323;18480
Barbados;2018;5097283213;17783
Barbados;2017;4981588900;17404
Iraq;2021;2.07889E+11;5048
Uruguay;2021;59319547636;17021
Iraq;2020;1.8437E+11;4584
Uruguay;2020;53560755047;15419
Iraq;2019;2.33636E+11;5943
Uruguay;2019;61231149881;17688
Iraq;2018;2.27367E+11;5916
Uruguay;2018;64515038268;18704
Iraq;2017;1.87218E+11;4985
Uruguay;2017;64233966861;18691
Ukraine;2021;2.00086E+11;4836
Ukraine;2020;1.56618E+11;3752
Ukraine;2019;1.53883E+11;3661
Ukraine;2018;1.30891E+11;3097
Ukraine;2017;1.12091E+11;2638
Kazakhstan;2021;1.90814E+11;10041
Oman;2021;85868626528;16439
Kazakhstan;2020;1.71082E+11;9122
Oman;2020;73971391417;14485
Kazakhstan;2019;1.81667E+11;9813
Oman;2019;88060858257;17701
Kazakhstan;2018;1.7934E+11;9813
Oman;2018;91505851756;18947
Kazakhstan;2017;1.66806E+11;9248
Oman;2017;80856697009;17329
Trinidad And Tobago;2021;21391802311;15243
Trinidad And Tobago;2020;21392536138;15286
Trinidad And Tobago;2019;23886216403;17123
Trinidad And Tobago;2018;23820742957;17139
Trinidad And Tobago;2017;23180107752;16748
Antigua And Barbuda;2021;1471125926;14901
Antigua And Barbuda;2020;1370281481;13993
Antigua And Barbuda;2019;1687533333;17377
Antigua And Barbuda;2018;1605944444;16680
Antigua And Barbuda;2017;1467977778;15384
Algeria;2021;1.67983E+11;3765
Algeria;2020;1.45009E+11;3307
Algeria;2019;1.71767E+11;3990
Algeria;2018;1.74911E+11;4142
Algeria;2017;1.70097E+11;4110
Morocco;2021;1.32725E+11;3497
Panama;2021;63605065800;14516
Morocco;2020;1.14725E+11;3059
Panama;2020;53977037000;12510
Morocco;2019;1.1987E+11;3235
Panama;2019;66984427200;15774
Morocco;2018;1.18096E+11;3227
Panama;2018;64929409200;15545
Morocco;2017;1.09683E+11;3035
Panama;2017;62202725200;15146
Seychelles;2021;1320053793;13307
Seychelles;2020;1200634489;12194
Seychelles;2019;1684228529;17252
Seychelles;2018;1636310049;16911
Seychelles;2017;1573428277;16417
Ethiopia;2021;1.11271E+11;944
Ethiopia;2020;1.07658E+11;936
Ethiopia;2019;95912590628;856
Ethiopia;2018;84269348327;772
Ethiopia;2017;81770791971;769
Kenya;2021;1.10347E+11;2007
Costa Rica;2021;64282438667;12509
Kenya;2020;1.00667E+11;1872
Costa Rica;2020;62158002233;12202
Kenya;2019;1.0038E+11;1909
Costa Rica;2019;64417670083;12762
Kenya;2018;92202956321;1794
Costa Rica;2018;62420165100;12485
Kenya;2017;82035800868;1633
Costa Rica;2017;60516043590;12226
Ecuador;2021;1.06166E+11;5935
Nauru;2021;133218897;12252
Ecuador;2020;99291124000;5628
Nauru;2020;114626626;10580
Ecuador;2019;1.08108E+11;6223
Nauru;2019;118724074;11030
Ecuador;2018;1.07562E+11;6296
Nauru;2018;124021394;11615
Ecuador;2017;1.04296E+11;6214
Nauru;2017;109359680;10339
Dominican Republic;2021;94243453937;8604
Dominican Republic;2020;78844702329;7268
Dominican Republic;2019;88941299734;8282
Dominican Republic;2018;85555378043;8051
Dominican Republic;2017;79997975622;7609
Bulgaria;2021;80271119426;11635
Bulgaria;2020;69889347433;10079
Bulgaria;2019;68915416142;9879
Bulgaria;2018;66363422450;9447
Bulgaria;2017;59199447421;8366
Guatemala;2021;85986321551;5026
Guatemala;2020;77604632621;4603
Guatemala;2019;77020015201;4639
Guatemala;2018;73208583759;4478
Guatemala;2017;71654134379;4454
Sri Lanka;2021;84518830393;3815
Sri Lanka;2020;80969683537;3694
Sri Lanka;2019;83902574443;3848
Sri Lanka;2018;87963042341;4059
Sri Lanka;2017;87428128124;4077
Grenada;2021;1122083185;9929
Grenada;2020;1043411111;9273
Grenada;2019;1213485185;10834
Grenada;2018;1166523556;10467
Grenada;2017;1125685185;10153
Ghana;2021;77594279055;2445
Ghana;2020;70043199814;2254
Ghana;2019;68337537816;2247
Ghana;2018;67299280680;2261
Ghana;2017;60406382899;2074
Angola;2021;72546985709;2138
Angola;2020;53619071176;1631
Angola;2019;69309104807;2178
Angola;2018;77792940077;2525
Angola;2017;68972763787;2313
Uzbekistan;2021;69238903106;1983
St. Lucia;2021;1764901133;9571
Uzbekistan;2020;59894305353;1750
St. Lucia;2020;1616772748;8805
Uzbekistan;2019;59907674027;1784
St. Lucia;2019;2118791548;11591
Uzbekistan;2018;52633143808;1597
St. Lucia;2018;2065127263;11354
Uzbekistan;2017;62081323299;1917
St. Lucia;2017;1996771441;11035
Belarus;2021;68218816484;7304
Guyana;2021;7409179921;9375
Belarus;2020;61489588895;6555
Guyana;2020;5471256595;6956
Belarus;2019;64409647194;6838
Guyana;2019;5173760192;6610
Belarus;2018;60031262269;6360
Guyana;2018;4787636237;6146
Belarus;2017;54726595249;5786
Guyana;2017;4748174334;6125
Montenegro;2021;5809170962;9367
Montenegro;2020;4780722122;7695
Montenegro;2019;5542201151;8910
Montenegro;2018;5506944403;8850
Montenegro;2017;4856602179;7803
Tanzania;2021;67775101794;1136
Serbia;2021;63068134601;9215
Tanzania;2020;62409709111;1076
Serbia;2020;53335016425;7731
Tanzania;2019;61136873692;1086
Serbia;2019;51514222382;7417
Tanzania;2018;57003713611;1043
Serbia;2018;50640650221;7252
Tanzania;2017;53320625959;1005
Serbia;2017;44179055280;6293
Maldives;2021;4889666932;8995
Maldives;2020;3742769967;6924
Maldives;2019;5607762625;10562
Maldives;2018;5300962660;10279
Maldives;2017;4754175869;9577
Myanmar;2021;65067808985;1187
Mauritius;2021;11156657770;8812
Myanmar;2020;78930257227;1451
Mauritius;2020;10926820603;8633
Myanmar;2019;68697759361;1271
Mauritius;2019;14045808843;11097
Myanmar;2018;67144725831;1250
Mauritius;2018;14181951059;11208
Myanmar;2017;61449392056;1151
Mauritius;2017;13259351418;10485
Equatorial Guinea;2021;12269392789;8462
Equatorial Guinea;2020;10099157270;7198
Equatorial Guinea;2019;11364134109;8381
Equatorial Guinea;2018;13097011208;10006
Equatorial Guinea;2017;12200912828;9668
Gabon;2021;18269350434;8017
Gabon;2020;15316824039;6882
Gabon;2019;16874405840;7767
Gabon;2018;16867325127;7959
Gabon;2017;14929488771;7230
St. Vincent And The Grenadines;2021;889775243;7997
St. Vincent And The Grenadines;2020;872134547;7861
St. Vincent And The Grenadines;2019;910149699;8230
St. Vincent And The Grenadines;2018;884328181;8024
St. Vincent And The Grenadines;2017;847620215;7718
Dominica;2021;545618519;7560
Dominica;2020;504214815;7004
Dominica;2019;611537037;8516
Dominica;2018;554770370;7745
Dominica;2017;521551852;7299
Azerbaijan;2021;54622176471;5384
Azerbaijan;2020;42693000000;4230
Azerbaijan;2019;48174235294;4806
Azerbaijan;2018;47112941176;4740
Azerbaijan;2017;40865558912;4147
Democratic Republic Of Congo;2021;53958573693;584
Botswana;2021;17613846473;7348
Democratic Republic Of Congo;2020;48716960860;544
Botswana;2020;14930072799;6349
Democratic Republic Of Congo;2019;51775830726;597
Botswana;2019;16695925027;7247
Democratic Republic Of Congo;2018;47568210068;566
Botswana;2018;16914245098;7504
Democratic Republic Of Congo;2017;38019265626;467
Botswana;2017;16088437675;7296
Tunisia;2021;46840042941;3924
Tunisia;2020;42514151614;3597
Tunisia;2019;41772900763;3572
Tunisia;2018;42685972269;3691
Tunisia;2017;42164007605;3688
Jordan;2021;45243661972;4406
Jordan;2020;43697659296;4283
Jordan;2019;44502895915;4405
Jordan;2018;42932112676;4308
Jordan;2017;41408960845;4232
Cameroon;2021;45238613480;1662
Cameroon;2020;40804449726;1537
Cameroon;2019;39670977333;1533
Cameroon;2018;39973839065;1585
Cameroon;2017;36098550142;1469
Libya;2021;41879579677;6018
Bosnia and Herzegovina;2021;22571512867;6916
Libya;2020;52320215472;7614
Bosnia and Herzegovina;2020;19955120005;6082
Libya;2019;69252306372;10218
Bosnia and Herzegovina;2019;20201323283;6120
Libya;2018;76684175824;11482
Bosnia and Herzegovina;2018;20177422311;6070
Libya;2017;67158415842;10205
Bosnia and Herzegovina;2017;18079076427;5394
Uganda;2021;40434701517;858
North Macedonia;2021;13879269152;6721
Uganda;2020;37600368181;822
North Macedonia;2020;12116981815;5846
Uganda;2019;35353060634;799
North Macedonia;2019;12606338449;6070
Uganda;2018;32927025573;771
North Macedonia;2018;12683070061;6109
Uganda;2017;30744473912;747
North Macedonia;2017;11307058382;5450
Bolivia, Plurinational State of;2021;40408208524;3415
Bolivia, Plurinational State of;2020;36629843806;3138
Bolivia, Plurinational State of;2019;40895322851;3552
Bolivia, Plurinational State of;2018;40287647931;3549
Bolivia, Plurinational State of;2017;37508642171;3351
Paraguay;2021;38986810989;5400
Albania;2021;18260043500;6494
Paraguay;2020;35432178068;4968
Albania;2020;15131866271;5332
Paraguay;2019;37925338329;5384
Albania;2019;15401830754;5396
Paraguay;2018;40225448341;5783
Albania;2018;15156432310;5288
Paraguay;2017;38997129474;5679
Albania;2017;13019689337;4531
Nepal;2021;36288830373;1223
Nepal;2020;33433670512;1147
Nepal;2019;34186190996;1195
Nepal;2018;33111525872;1179
Nepal;2017;28971589213;1048
Sudan;2021;34326058557;764
Sudan;2020;26987563444;615
Sudan;2019;32338079165;755
Sudan;2018;32333780383;774
Sudan;2017;1.29718E+11;3178
Moldova, Republic of;2021;13679221333;5315
Moldova, Republic of;2020;11859730544;4526
Moldova, Republic of;2019;11971345003;4492
Moldova, Republic of;2018;11457443185;4231
Moldova, Republic of;2017;9669741744;3510
El Salvador;2021;28736940000;4409
Tuvalu;2021;63100962;5291
El Salvador;2020;24638720000;3799
Tuvalu;2020;55054711;4669
El Salvador;2019;26896660000;4168
Tuvalu;2019;54223149;4652
El Salvador;2018;26020850000;4053
Tuvalu;2018;47818290;4156
El Salvador;2017;24979190000;3910
Tuvalu;2017;45217658;3979
Honduras;2021;28488668302;2831
Fiji;2021;4592118710;5086
Honduras;2020;23827840810;2406
Fiji;2020;4574413823;5103
Honduras;2019;25089976947;2574
Fiji;2019;5496264766;6176
Honduras;2018;24067778954;2510
Fiji;2018;5581371850;6317
Honduras;2017;23136232230;2454
Fiji;2017;5353404422;6101
Senegal;2021;27625388352;1606
Georgia;2021;18700241392;5042
Senegal;2020;24493157583;1463
Georgia;2020;15842922533;4256
Senegal;2019;23398811424;1436
Georgia;2019;17470436259;4696
Senegal;2018;23116897847;1458
Georgia;2018;17596922470;4722
Senegal;2017;20996564752;1362
Georgia;2017;16242916916;4357
Cambodia;2021;26961061120;1591
Cambodia;2020;25872798012;1548
Cambodia;2019;27089389787;1643
Cambodia;2018;24571753583;1512
